Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,"('2day', 'Sarawak')",1,,,"('4week', 'Melaka')",1,,,"('7mth', 'Negeri Sembilan')",1,,,,,"('4day', 'Pahang')",1,"('4day', 'Sabah')",1,"('6mth', 'Kedah')",1,"('7mth', 'Sarawak')",1,,,,,,
,,,,"('2day', 'Selangor')",1,,,"('4week', 'Negeri Sembilan')",1,,,"('7mth', 'Pahang')",1,,,,,"('4day', 'Perak')",1,"('4day', 'Sarawak')",1,"('6mth', 'Melaka')",1,"('7mth', 'Selangor')",16,,,,,,
,,,,"('2day', 'Terengganu')",1,,,"('4week', 'Pahang')",1,,,"('7mth', 'Perlis')",19,,,,,"('4day', 'Perlis')",1,"('4day', 'Selangor')",2,"('6mth', 'Negeri Sembilan')",1,"('7mth', 'Terengganu')",1,,,,,,
,,,,"('2day', 'W.P. Kuala Lumpur')",1,,,"('4week', 'Perak')",1,,,"('7mth', 'Pulau Pinang')",1,,,,,"('4day', 'Pulau Pinang')",1,"('4day', 'Terengganu')",1,"('6mth', 'Perlis')",20,"('7mth', 'W.P. Kuala Lumpur')",1,,,,,,
,,,,"('2day', 'W.P. Labuan')",1,,,"('4week', 'Perlis')",1,,,"('7mth', 'Sabah')",17,,,,,"('4day', 'Sabah')",1,"('4day', 'W.P. Kuala Lumpur')",1,"('6mth', 'Pulau Pinang')",1,"('7mth', 'W.P. Labuan')",2,,,,,,
,,,,"('2day', 'W.P. Putrajaya')",1,,,"('4week', 'Pulau Pinang')",1,,,"('7mth', 'Sarawak')",1,,,,,"('4day', 'Sarawak')",1,"('4day', 'W.P. Labuan')",1,"('6mth', 'Sabah')",1,"('8mth', 'Johor')",29,,,,,,
,,,,"('2mth', 'Johor')",1,,,"('4week', 'Sabah')",1,,,"('7mth', 'Selangor')",1,,,,,"('4day', 'Selangor')",1,"('4day', 'W.P. Putrajaya')",1,"('6mth', 'Sarawak')",1,"('8mth', 'Kedah')",1,,,,,,
,,,,"('2mth', 'Kedah')",1,,,"('4week', 'Sarawak')",1,,,"('7mth', 'Terengganu')",1,,,,,"('4day', 'Terengganu')",1,"('4mth', 'Johor')",1,"('6mth', 'Terengganu')",1,"('8mth', 'Kelantan')",1,,,,,,
,,,,"('2mth', 'Kelantan')",1,,,"('4week', 'Selangor')",1,,,"('7mth', 'W.P. Kuala Lumpur')",1,,,,,"('4day', 'W.P. Kuala Lumpur')",1,"('4mth', 'Kedah')",1,"('6mth', 'W.P. Kuala Lumpur')",1,"('8mth', 'Pahang')",1,,,,,,
,,,,"('2mth', 'Melaka')",1,,,"('4week', 'Terengganu')",1,,,"('7mth', 'W.P. Labuan')",28,,,,,"('4day', 'W.P. Labuan')",1,"('4mth', 'Kelantan')",11,"('6mth', 'W.P. Labuan')",1,"('8mth', 'Perak')",1,,,,,,
