Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,,,,,"('vent_port', 'W.P. Labuan')",14,"('vent_covid', 'W.P. Kuala Lumpur')",85,,,,,,,"('vent_used', 'Melaka')",49,,,,,,,,,,,,
,,,,,,,,"('vent_pui', 'Kedah')",24,"('vent_noncovid', 'Kedah')",46,,,,,,,"('vent_used', 'Negeri Sembilan')",40,,,,,,,,,,,,
,,,,,,,,"('vent_pui', 'Melaka')",64,"('vent_noncovid', 'Negeri Sembilan')",87,,,,,,,"('vent_used', 'Selangor')",87,,,,,,,,,,,,
,,,,,,,,"('vent_pui', 'Pahang')",90,"('vent_noncovid', 'Pulau Pinang')",75,,,,,,,"('vent_used', 'W.P. Kuala Lumpur')",30,,,,,,,,,,,,
,,,,,,,,"('vent_used', 'Pahang')",69,"('vent_noncovid', 'Selangor')",5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_noncovid', 'W.P. Labuan')",48,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_port_used', 'Kedah')",96,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_pui', 'Johor')",25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_pui', 'Kelantan')",62,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_pui', 'Negeri Sembilan')",81,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_pui', 'W.P. Labuan')",10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_used', 'Kedah')",27,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"('vent_used', 'W.P. Kuala Lumpur')",99,,,,,,,,,,,,,,,,,,,,
